,Restaurant Name,Restaurant Cuisine,Restaurant Rating,Restaurant Delivery Time,Restaurant Distance,Discount,Promo,Images
202,NOKA - Funan,"Alcohol, Dessert, Drinks & Beverages, Sushi",4.5,20 mins,0.7 km,,False,https://food-cms.grab.com/compressed_webp/merchants/4-CZJVJ6KABAXJET/hero/56d017cadcb340528352cda4f768a01c_1591943439792752103.webp
203,Acai King - North Bridge Road,"Dessert, Drinks & Beverages",1,20 mins,0.7 km,,False,https://food-cms.grab.com/compressed_webp/merchants/4-C6C3WB2WRKKALJ/hero/15d875bcb8b54b4e8888ad921c226723_1709694603310150720.webp
204,Swirled - Capitaspring,"Western, Pasta, Seafood, Snack, Local & Malaysian",4.3,25 mins,1.4 km,,False,https://food-cms.grab.com/compressed_webp/merchants/4-C4C3MA42ENXZCA/hero/0cbec78e-29e2-49da-a083-645a26ae7dfb__store_cover__2023__06__10__16__23__06.webp
205,Patrons’ Box - One Raffles Place,"Western, Middle Eastern, Dessert",4.4,25 mins,1.5 km,,False,https://food-cms.grab.com/compressed_webp/merchants/4-C3LGR6M3C8EXCE/hero/b8473dedbf5a40bf972cc82823ee219f_1657167638194680986.webp
206,Cedele - CIMB Plaza,"Western, Bakery & Cake, Breakfast & Brunch",4.2,25 mins,1.2 km,"Free Delivery (Min. spend S$30) for all, limited redemptions",True,https://food-cms.grab.com/compressed_webp/merchants/4-C34WEEW1ECKAC6/hero/4509ca6cf8cb442a8f76007d5403b999_1675386559467804343.webp
207,Tanamera Coffee - Oxley @ Raffles,"Indonesian, Breakfast & Brunch, Fried Rice, Satay, Soup",4,119 min,0.5 km,,False,https://food-cms.grab.com/compressed_webp/merchants/4-C2T3CY2YWAVGNE/hero/0d34205a50254b6192b5b9836b76f4e4_1676628307279990382.webp
208,The Oyster Bank - Funan,"Japanese, Seafood, Sushi",3.7,25 mins,0.7 km,,False,https://food-cms.grab.com/compressed_webp/merchants/4-CY3UVAXARRBACN/hero/eb5bec3f388d4fa38c788b713f2c31cf_1574675608488488087.webp
209,Cedele Mart - CIMB Plaza,"Bakery & Cake, Groceries, Healthy Food, Snack, Gourmet",5,20 mins,1.2 km,,False,https://food-cms.grab.com/compressed_webp/merchants/4-C34WEEW1DCLVPA/hero/1fc930fe703646d2a1957f5a6f08b56e_1675399515065771592.webp
210,Golden Village Goldbites - Funan,"Western, Fast Food, Drinks & Beverages",3.7,30 mins,0.6 km,,False,https://food-cms.grab.com/compressed_webp/merchants/4-C22ENXV2JAAJPA/hero/18b4ba2a51264912aecd832e2202420a_1631262661232118769.webp
211,Ya Kun Kaya Toast - Funan Mall,"Coffee & Tea, Bakery & Cake, Dessert, Group Friendly",4.2,30 mins,0.7 km,,False,https://food-cms.grab.com/compressed_webp/merchants/4-CZBXTF4YA8DXGT/hero/ed09fbc233e14326972bf3fff6a3292c_1585745933465231893.webp
